Precio,Ubicación,Ciudad,Expensas,Habitaciones,Baños,Área,Estacionamientos,Precio/m²,Fecha de Publicación,Descripción,Logo Agencia,Destacado
USD 124.900,CUMBAYÁ,"Cumbayá, Quito",USD 150 Alícuota,1 a 3 hab.,3 baños,66 a 193 m² tot.,2 estac.,N/A,N/A,"Departamentos de 1, 2, y 3 dormitorios! Nexos Realty vende hermoso proyecto de suites y departamentos en armonnia ii, Cumbayá, a pocos minutos de la Ruta Viva y de otras vías de acceso!! El Proyecto ya está en construcción!! Aprovecha los precios de lanzamiento!! Reserva con usd $2. 000!! Entrega 2025!! Armonnia ii es un proyecto en donde se destacan el equilibrio ideal entre la tranquilidad natural y el confort moderno. Armoniia ii ofrece 21 unidades entre suites y departamentos, con precios desde $124. 900!  Suites de un dormitorio.  Departamentos de dos dormitorios.  Departamentos de dos dormitorios + terraza.  Departamentos de dos dormitorios principales + terraza.  Departamentos de dos dormitorios principales + terraza + jardín.  Varias configuraciones disponibles que van desde 66 m2 hasta más de 300 m2. área comunal.  Áreas verdes!  Coworking.  Gimnasio.  Pet-zone.  Roof-top.  Piscina. A pocos minutos de:  El Parque Central de Cumbayá  Avenida Simón Bolívar.  Hospital de los Valles.  Paseo San Francisco.  Túnel Guayasamín.  Scala Shopping.  Colegio Menor.  El Chaquiñán.  Aeropuerto.  Ruta Viva.  usfq. Amplias áreas comunales con espacios verdes, gimnasio, terrazas a desnivel, áreas de yoga y bbq! Comunícate con Nexos Realty para ver una presentación del proyecto!!",./Plusvalia_raw_p2_060924_2243_files/logo_nexos-realty_1718643766032.jpg,Super destacado
USD 158.359,El Batán y Av. Eloy Alfaro,"La Carolina, Quito",USD 138 Alícuota,2 a 3 hab.,2 baños,91 a 112 m² tot.,2 estac.,N/A,N/A,"Area total departamento 111, 10 m2. 107, 13 m2 habitables. 3, 97 m2 balcón. 3 habitaciones. 2 baños completos. 1 baño social. Cocina tipo americana, incluye cocina, horno y extractor de olores. Amplia área de lavandería. 1 parqueadero. 1 bodega. Características del edificio. Guardianía 24 horas. Planta de energía eléctrica. Dos ascensores. Business Center. Terraza con área bbq y zona para fogata. Kids Plays. Sala Comunal con juegos de mesa y tv. Áreas húmedas con jacuzzi, sauna y turco. Cancha de uso múltiple. Gimnasio. Pista para correr. El departamento se encuentra en el 5 to piso, tiene una linda vista a la ciudad, goza de luz natural con grandes ventanales, por lo que es un departamento muy claro y acogedor. . El edificio cuenta con una excelente ubicación a minutos del Megamaxi, restaurantes, farmacias, instituciones financieras y fácil acceso a transporte público.",./Plusvalia_raw_p2_060924_2243_files/logo_inmobusiness-s.a._1694815287277.jpg,Super destacado
USD 67.686,Av. Real Audiencia entre Francisco Dalmau y Moises Luna Andrade.,"Ponceano, Quito",USD 103 Alícuota,1 a 3 hab.,3 baños,42 a 128 m² tot.,2 estac.,N/A,N/A,"Dos imponentes torres con un diseño único y vanguardista en la zona. Desarrollado por el equipo de Be Architecture, el estudio de diseño arquitectónico de bentho Constructora. Wind es un proyecto moderno e innovador, y cuenta con armoniosos ambientes, diseñados para vivir una experiencia única y un estilo de vida diferente. Gozarás en un entorno tranquilo, residencial y cerca de muchos servicios, mientras disfrutas de los increíbles beneficios con los que cuenta este proyecto. Cuenta con las siguientes amenities: 1. Gimnasio. 2. Pets Park. 3. Kids Club. 4. Teens Club. 5. Business Center. 6. Zona de Yoga. 7. Beauty Spa. 8. Bbq. 9. Salón Comunal. 10. Piscina. 11. Hidromasaje. 12. Turco. 13. Jogging Track. 14. Cooking room. 15. Zona bar. 16. Parqueadero de bicicletas y motonetas",./Plusvalia_raw_p2_060924_2243_files/logo_construbentho-construcciones_1680283371404.jpg,Super destacado
USD 90.000,calle carchi,"Cumbayá, Quito",USD 20 Alícuota,2 a 3 hab.,2 baños,50 a 177 m² tot.,1 estac.,N/A,N/A,"Antalya Residences, exalta tu libertad y te brinda todas las comodidades en un punto lejos de la vibra citadina, un proyecto exclusivo con pocas unidades ubicado estratégicamente en el Valle de Cumbaya a pocos metros de La Pala Pádel center. Departamentos de 2 habitaciones desde $98. 000. Precios publicados ya tienen el descuento especial con Sistema de Crédito Construyamos Juntos. ¿Qué esperas para vivir a tu manera?. ¡Vive Antalya Residences! Contamos con: Lobby de Ingreso, Jungle Pool, Gimnasio Equipado, Coworking, Pet Spa, Gourmet Hall,",./Plusvalia_raw_p2_060924_2243_files/logo_elmir-grupo-inmobiliario_1715190320650.jpg,Super destacado
USD 102.328,Hidalgo de Pinto y Mariano Echeverría,"Quito Tenis, Quito",USD 200 Alícuota,1 a 3 hab.,1 baño,87 a 167 m² tot.,1 estac.,N/A,N/A,"Feel está ubicado en un sector estratégico del Norte de Quito, cerca de las principales avenidas y vías de conexión dela ciudad, instituciones financieras, centros comerciales, instituciones educativas, parques, y más servicios. Feel te conecta con un estilo de vida mas bonito, tienes la libertad de vivir tu vida a tu propio ritmo, decorar tu departamento a tu gusto, tener las mascotas que desees, llegar después de un largodía y relajarte en los amenities del proyecto, cre ar un espacio zen en tu balcón o decorar a tu gusto. la habitación de tus hijos. Las posibilidades son infinitas. Gozarás de un entorno tranquilo, exclusivo, residencial y cerca de todos los servicios que necesitas. Salón de Juegos. Sala de Coworking. Gimnasio y Zona Zen. Huerto Urbano. Zonas bbq. Kids Club. Pet Spa",./Plusvalia_raw_p2_060924_2243_files/logo_construbentho-construcciones_1680283371404.jpg,Super destacado
USD 105.000,Francisco Dalmau y Calle 6,"Ponceano, Quito",,3 hab.,2 baños,96 a 202 m² tot.,2 estac.,N/A,N/A,"North Palace lll es un proyecto residencial con un diseño atemporal que materializa un dinámico y elegante estilo de vida. Se ubica en Ponceano Alto un sector estratégico y de alta plusvalía en el norte de la ciudad de Quito. ¡Tu nuevo hogar en un ambiente moderno y seguro donde tu confort es nuestra prioridad! El proyecto posee un amplia y elegante lobby de ingreso, vista excepcional, gimnasio, sala comunal, ascensor, bbq, salas abiertas, pista atéletica y parqueaderos de visitas internos. Contamos con departamentos de 3 dormitorios que incluyen una bodega y parqueadero según tu elección. Esta excelente oportunidad de inversión puede ser financiada con la Institución Financiera de tu elección. Aprovecha nuestros precios de lanzamiento! - Acabados premium. - Ascensor. - Sistema de calentamiento de agua centralizado por bombas de calor. - Área de bbq. - Gimnasio. - Área recreativa en Terraza. - Seguridad. - Circuito integrado de cámaras. - Parqueaderos de Visitas",./Plusvalia_raw_p2_060924_2243_files/logo_at-constructores_1709063985004.jpg,Super destacado
USD 176.300,TEOFILO CARRERA Y HERMANOS BRAUER,"Puembo, Quito",,2 a 4 hab.,2 baños,63 a 140 m² tot.,2 estac.,N/A,N/A,"Muskuna: casas Y departamentos en Puembo. nuevo proyecto casas Y departamentos que conforman un conjunto privado y exclusivo rodeado de naturaleza; adicional cuenta con más de 2. 000 m2 de áreas verdes y recreativas. Ubicación: Ubicado en puembo conocido como la ""eterna primavera"" un sector residencial en desarrollo y rodeado de naturaleza y un clima privilegiado. *teofilo carrera Y hermanos brauer (de la Y a mano derecha a 100m). Puembo. entrega: 2025. áreas comunales: - Piscina. - Jacuzzi. - Cancha Padel. - Game Room. - Juegos Infantiles. - Video vigilancia. - Jardines decorativos. - Laguna. - Garita guardiania. - Sala exterior bbq. - Estacionamiento visitas. contactos: - Ver datos. - Ver datos. - Ver datos",./Plusvalia_raw_p2_060924_2243_files/logo_alvarez-bravo_1612854724270.jpg,Super destacado
USD 80.389,Giovanni Boccaccio,"Cumbayá, Quito",,1 a 2 hab.,2 baños,49 a 95 m² tot.,1 estac.,N/A,N/A,"Único proyecto con impresionantes vistas 360 grados donde podrás escoger entre apartamentos con vista hacia el Ilaló, la cordillera oriental, el volcán Cotopaxi o la cordillera occidental. Todos con amplios porches o terrazas cubiertas de 20 m2 para tener tu sala/comedor exterior y para disfrutar de un ambiente rodeado de naturaleza. Vive junto al nuevo corazón de Cumbayá, Ciudad San Patricio, donde tendrás a tu disposición: colegios, oficinas, clínicas, restaurantes y actividades para toda la familia.",./Plusvalia_raw_p2_060924_2243_files/logo_maria-jose-encalada_1646256201178.jpg,Super destacado
USD 78.302,Julio Arellano y Malvas,"Norte de Quito, Quito",USD 200 Alícuota,1 a 3 hab.,3 baños,95 a 163 m² tot.,1 estac.,N/A,N/A,"Venta directa del constructor!! Agenda cita con un Asesor Comercial. ""Visita nuestro Departamento Modelo"" características: • Espectacular Proyecto. • Amplios Ventanales, acogedor. • Diseño de vanguardia y único en su clase. • Entrega inmediata. Ubicación: Sector ""Monteserrin"" Cerca de Parques. Centros Comerciales. Entidades Financieras. Supermercados. Colegios y Universidades. Facilidad de acceso y movilización. descripción: • Cuenta con 33 unidades entre ellas suites, departamentos de 2 y 3 dormitorios. • Hermosos departamentos con acabados de primera. Servicios comunales: • Área bbq. • Ascensor de última tecnología. • Generador eléctrico de emergencia. • Áreas Verdes. • Salón Comunal. • Lobby Doble Altura Equipado. • Jacuzzi. • Terraza Chill out. • Espacio Gymboree. • Guardiania 24 horas. • Gimnasio equipado. • Parqueadero de visitas. . Zona Pet friendly. formas de pago: • Crédito biess. • Diferentes Entidades financieras. información Y ventas: Ver datos - Ver datos",./Plusvalia_raw_p2_060924_2243_files/logo_cruz-escalante_4.jpg,Super destacado
USD 186.000,Torre Ganté - Av. Portugal (La Carolina) - Centro Norte - Entrega Inmediata,"La Carolina, Quito",USD 220 Alícuota,2 a 3 hab.,3 baños,157 m² tot.,3 estac.,N/A,N/A,"Ultimos departamentos de 2 Y 3 dormitorios - entregra inmediataedificio moderno de 8 pisos con departamentos de 1, 2 y 3 dormitorios desde 50m2 hasta 163m2 + 4 exclusivos penthouse en el octavo piso, diseñado para tu confort y tranquilidad. Cuidamos los detalles con acabados de alta calidad; su diseño arquitectónico busca una iluminación perfecta a través de amplios ventanales y balcones para que cada espacio sea funcional y deslumbrante. Ubicación única, estratégica Y de alta plusvalía • Megamaxi • Quicentro Shopping • Parque “La Carolina” • Parque “Metropolitano” • Cines • Hoteles• Restaurantes • Bancos • Farmacias • Vías y Medios de Alta Circulación amenities • Terraza Verde con Vista Panorámica 360° • Jacuzzi panorámico - HydroGante • Sauna y Turco • Rooftop bbq• Áreas de Fogata - Relax Pit y Reading Pit • Fitness Center totalmente equipado • Yoga Studio • Kid’s Club • Coworking Space • Salón de Uso Múltiple características • Arquitectura Vanguardista • Estructura Sismo-Resistente • Vista Panorámica de 360° de la ciudad de Quito • Elegante Hall de Ingreso a Doble Altura • 2 Ingresos y Salidas: Av. Portugal y Calle Julio Moreno • Control Magnético de Accesos • Guardianía 24 horas monitoreada con Sistema cctv • Parqueaderos Disponibles para todas las Suites y Departamentos • 10 Parqueaderos de Visitas • Bike Zone • 2 Ascensores de Última Generación • Presurización de Gradas • Sistema Contra Incendio • Generador de Emergencia 24/7• Sistema Centralizado de Calentamiento de Agua mediante Bombas de Calor • Eficiencia en Consumo de Agua • Sensores para Ahorro de Energía; Iluminación led • Instalación para Sistema de Domótica • Zona Wifi acabados • Paredes de Bloque Estucadas y Pintadas • Puerta Principal con Cerradura Eectrónica • Piso Laminado Importado • Muebles Modulares en melamínico para Dormitorios • Muebles Modulares Altos y Bajos en Melamínico para Cocina • Mesones Españoles de Silestone en Cocina y Baños • Porcelanato y/o Cerámica para Cocina y Baños • Grifería fv de Alta Gama • Sanitarios fv • Ventanas piso-techo en Aluminio y Vidrio • Cortinas de Vidrio Templado y Espejos en Baños",./Plusvalia_raw_p2_060924_2243_files/logo_bg-constructora_1614027082859.jpg,Super destacado
